NIP,NAME,DATE OF BIRTH,GENDER,ADDRESS,ID NUMBER,PHONE
457949517240,Putri Dzulfikar,2018-11-14,F,"Jl. Gajahmada No. 99, Banggai, IA 75330",HI0A9O33U00H,+5666583018
175141818566,Vicky Wardhana,2020-03-19,F,"Suite 672 Jl. Ahmad Yani No. 11, Dairi, NY 11614",5Z3KLGNX2730GU33UHD,+014860079
243844024897,Jaka Gozali,2026-05-20,X,"Apt. 789 Jl. Hayamwuruk No. 78, Pohuwato, WI 59715",0LYQDEX38XE65B99G,+714629359
719704097396,Jaya Gondokusumo,2023-01-25,X,"Suite 241 Jl. Rasuna Said No. 76, Payakumbuh, CO 82210",56E19P7FM0020,+65260535
977984605278,Budi Jayakusuma,2019-09-19,X,"Apt. 743 Jl. MH. Thamrin No. 15, Bojonegoro, VT 09495",23H106G60BGES988,+5482533968
218900838410,Arif Nugraha,2018-10-25,X,"Jl. Gatot Soebroto No. 29, Musi Rawas, AR 31685",JU3PE73LHZLV,+034886168303
387125490707,Bagas Zaenal,2019-09-18,M,"Jl. Rasuna Said No. 93, Manggarai, AR 14591",PO49D2B0417Q,+87016449824
492027207843,Liana Novianto,2017-06-04,M,"Jl. Juanda No. 66, Biak Numfor, NH 75332",511QT1J21FOO,+519286437
238187457436,Niko Hartanto,2024-02-12,X,"Jl. Gajahmada No. 52, Langkat, OH 72919",1O62CE79P8TU,+87539311
749750577049,Martin Zulkarnain,2025-09-17,X,"Jl. Hayamwuruk No. 13, Baru, SD 52572",0O15D8X16FN6,+31399346
573889550406,Lely Harjono,2017-06-09,M,"Jl. Gatot Soebroto No. 25, Kepulauan Yapen, MT 14429",18UE5W68U0A4,+03228568
901435652584,Dina Rusli,2020-10-27,X,"Apt. 615 Jl. Jend. Sudirman No. 03, Bintan, NJ 14943",4M0Y68DN6W8YD,+24817622
009363913800,Heni Nugraha,2024-04-25,X,"Suite 692 Jl. Juanda No. 03, Teluk Bintuni, IA 89445",R11O1RRI6ZK8,+974098145324
658393834451,Anita Nugraha,2025-06-29,M,"Apt. 555 Jl. Jend. Sudirman No. 75, Indramayu, NC 98079",3N9D1649ELXP026D364,+2846042165
700593744067,Iwan Harjono,2018-03-16,M,"Jl. Ahmad Yani No. 19, Tapin, NJ 70324",669O40T79KJL25D908F8H14M,+590073614
038584421585,Gugun Haryanto,2019-08-11,X,"Jl. Jend. Sudirman No. 35, Tanjung Jabung Barat, ID 53581",67B3BI924T29,+712131268569
010672262329,Devi Lazuardi,2016-09-04,X,"Suite 329 Jl. MH. Thamrin No. 88, Dompu, MN 30484",1V2OGC2WBW9IC,+5295552685
394870560342,Khrisna Bimantara,2026-05-20,X,"Apt. 242 Jl. Ahmad Yani No. 15, Bengkulu Selatan, HI 55692",64552GV4U0R5I48,+5833427616
261215750783,Ruslan Kurnianto,2017-03-12,F,"Jl. Juanda No. 93, Sanggau, MN 13072",2SZ5T71869G684ZM,+873886575
682620225213,Edwin Fauzi,2021-02-19,X,"Jl. Jend. Sudirman No. 28, Pacitan, IL 18650",5JCX76F0H7F03UZ,+322035241
212002091043,Bagus Kusuma,2024-05-29,F,"Apt. 602 Jl. Jend. Sudirman No. 71, Sorong Selatan, KY 31496",GT6F2DZ8QI4068172,+122005880
526743085009,Aan Nababan,2016-11-28,X,"Jl. Juanda No. 88, Minahasa Utara, MD 29370",82279F6MJ613,+96363153
781019635894,Dina Dwiantoro,2016-07-23,M,"Suite 642 Jl. Ahmad Yani No. 84, Lombok Timur, OR 10505",A059169A0BILJ,+23124997
856885491356,Rosa Handaru,2025-10-17,X,"Jl. Gatot Soebroto No. 81, Hulu Sungai Tengah, WY 65440",1VK2S4ZU323N,+85985966
962581468664,Rahmat Erlangga,2023-04-24,M,"Jl. Ahmad Yani No. 29, Bantaeng, NM 71519",E88L4DNSZ56R487L36F7,+07245769
224445588707,Devi Nasrudin,2023-02-28,M,"Suite 201 Jl. Juanda No. 88, Bandar Lampung, WY 08614",55589FT35C84,+981179754972
324733704549,Yudha Thamrin,2017-08-15,F,"Jl. Juanda No. 14, Sanggau, MA 07913",5RN6W624B29JG4,+21561750
464698268136,Sandi Aristianto,2018-10-26,F,"Suite 324 Jl. Hayamwuruk No. 40, Nduga, NC 52150",E7152K05K19TYI,+134461157
169001253826,Lidya Marzuki,2024-01-14,X,"Jl. Diponegoro No. 70, Way Kanan, UT 16984",PQJ5O36507XU,+0624020646
714899652428,Salim Suhendra,2026-02-05,X,"Jl. Kartini No. 68, Brebes, RI 91093",154U12L44FT3J,+81887116
027911450473,Vanya Utama,2023-01-26,X,"Jl. Ahmad Yani No. 64, Tapanuli Utara, KS 88739",09O456657XZGPU,+30332990
712229964874,Olivia Lesmana,2026-02-27,X,"Jl. MH. Thamrin No. 04, Banjar Baru, ME 62283",D024FVA2D22E1,+97901790
314723963852,Wisnu Pradipta,2020-06-02,M,"Jl. Kartini No. 45, Ende, UT 87708",H6JNQ925G10G,+078309953593
943212836075,Dion Rusli,2025-06-23,M,"Suite 222 Jl. Hayamwuruk No. 00, Deiyai, IA 54894",F4YOP6ZW0JQN,+09240515
248531301372,Indah Umbara,2022-04-04,X,"Jl. MH. Thamrin No. 01, Tabanan, ID 17088",07VT6F99D7IM9,+706556446
532213872341,Citra Zaini,2026-10-04,M,"Jl. Juanda No. 38, Ciamis, MD 40386",0GKA3I7V2LIND6J,+072346981
477473816939,Ahmad Rianto,2020-07-21,X,"Jl. Gajahmada No. 14, Lumajang, SD 91591",8LZN5X2OUCIB1Y27,+18760235429
671696988342,Yahya Januar,2026-12-20,F,"Suite 024 Jl. Diponegoro No. 70, Sumba Tengah, WV 85366",K589IP2D19KA,+773147757150
407706996733,Beni Cahyadi,2017-02-16,M,"Jl. Diponegoro No. 17, Jakarta Pusat, TX 42855",VV483042AN5E426,+184203098827
775026043324,Wawan Virgiawan,2019-03-10,M,"Suite 664 Jl. Gatot Soebroto No. 39, Banyumas, WV 02019",MG6Y11MGJ5A7D6,+2992905010
777673782095,Dina Gautama,2025-04-20,X,"Apt. 835 Jl. Kartini No. 36, Belitung Timur, CT 64762",6521ZHX94O95GTI,+20594609
137197351389,Nisa Harjono,2021-05-28,X,"Suite 917 Jl. Juanda No. 75, Rokan Hulu, WI 58237",48NXZFP26B627CP2,+00789584906
770070625279,Nina Pradhana,2020-01-11,X,"Jl. Kartini No. 52, Yogyakarta, DE 73062",LA4M504KF8DK0VO6G,+939577945179
769930547337,Heni Suhendra,2024-04-05,M,"Apt. 848 Jl. Kartini No. 10, Bengkulu Tengah, MS 54594",F7O3766K5PTA,+56874721
257075213514,Andi Gautama,2016-05-03,F,"Apt. 720 Jl. Juanda No. 71, Tebo, OH 40866",01QMS1U07M033,+977686798
128073534393,Heni Listyawan,2018-02-26,M,"Jl. Gajahmada No. 09, Tanah Bumbu, AR 27277",YZ69BA84A1Q2,+679260698300
356524225531,Aditya Nugraha,2018-03-11,F,"Suite 433 Jl. Ahmad Yani No. 02, Toraja Utara, MN 77853",KY1KLXH8G8ALVP1,+2247593184
565040044795,Aulia Kurniadi,2021-12-29,M,"Apt. 679 Jl. Kartini No. 53, Lampung Tengah, KS 19213",Y0N4J91869WHA,+55989568
940137516225,Zaenal Wicaksono,2017-10-26,X,"Apt. 001 Jl. Juanda No. 25, Karanganyar, PA 98588",803JZ28S0OI4,+95279848
024682473000,Vira Virgiawan,2023-02-18,F,"Apt. 769 Jl. Gajahmada No. 89, Aceh Timur, FL 22802",8U7A8K0F17P0,+05308604
576531604797,Tomi Ciputra,2020-06-07,X,"Jl. Gajahmada No. 83, Siak, LA 38150",00Z880J3WY8IN83I,+805577371540
493071952519,Victor Wirawan,2019-07-25,M,"Jl. Gajahmada No. 43, Kepulauan Selayar, NM 78023",23Q4BQQT8W9M2,+98870497
677406358878,Bima Bimantara,2019-02-11,F,"Apt. 887 Jl. Ahmad Yani No. 92, Lembata, WY 65562",T0H9577Q16MY1,+02816740
940059485509,Dea Zaini,2022-06-30,X,"Suite 502 Jl. Kartini No. 72, Dogiyai, MA 22964",PT603W51KSR3,+87222265
326986678545,Mahesa Taslim,2021-01-19,F,"Jl. Hayamwuruk No. 51, Musi Banyuasin, MA 98073",8347MCV7JU7R0P5,+61003596
737108778222,Agus Maulana,2023-09-13,M,"Jl. Juanda No. 80, Bulukumba, WA 37318",UDJMS73C3A1247,+1101875686
